Date,Inflow,Outflow
2021-06-03,6667,2246
2021-06-04,6666,2158
2021-06-05,7114,2511
2021-06-06,7269,2618
2021-06-07,7187,2510
2021-06-08,7515,2806
2021-06-09,8066,3334
2021-06-10,8482,3815
2021-06-11,8382,3766
2021-06-12,8257,3578
2021-06-13,8359,3648
2021-06-14,8497,3753
2021-06-15,8576,3755
2021-06-16,8460,3583
2021-06-17,7780,2972
2021-06-18,7637,2702
2021-06-19,7853,2797
2021-06-20,8194,3091
2021-06-21,8323,3172
2021-06-22,8479,3306
2021-06-23,8451,3272
2021-06-24,8495,3272
2021-06-25,8623,3342
2021-06-26,8647,3365
2021-06-27,8541,3187
2021-06-28,8594,3346
2021-06-29,8507,3144
2021-06-30,7455,2122
2021-07-01,7702,2249
2021-07-02,8660,3370
2021-07-03,8222,2481
2021-07-04,8467,3102
2021-07-05,8975,3602
2021-07-06,9037,3676
2021-07-07,9159,3793
2021-07-08,9350,3966
2021-07-09,9151,3744
2021-07-10,8979,3549
2021-07-11,9082,3638
2021-07-12,9062,3656
2021-07-13,8916,3573
2021-07-14,8924,3586
2021-07-15,9012,3676
2021-07-16,9064,3405
2021-07-17,9018,3316
2021-07-18,9184,3463
2021-07-19,9183,3476
2021-07-20,9019,3382
2021-07-21,9041,3430
2021-07-22,9238,3604
2021-07-23,9274,3608
2021-07-24,9062,3391
2021-07-25,9103,3437
2021-07-26,9395,3756
2021-07-27,9686,4046
2021-07-28,9056,3449
2021-07-29,8902,3306
2021-07-30,8792,3213
2021-07-31,8634,3080
2021-08-01,8676,3173
2021-08-02,8775,3281
2021-08-03,8702,3306
2021-08-04,8584,3168
2021-08-05,8836,3489
2021-08-06,8972,3612
2021-08-07,8848,3555
2021-08-08,8855,3171
2021-08-09,8844,3957
2021-08-10,8825,3652
2021-08-11,8787,3717
2021-08-12,8803,3698
2021-08-13,8887,3776
2021-08-14,8753,3678
2021-08-15,8511,3444
2021-08-16,8682,3660
2021-08-17,8896,3829
2021-08-18,9024,4036
2021-08-19,9079,4147
2021-08-20,8917,3828
2021-08-21,8922,3817
2021-08-22,8956,3950
2021-08-23,8843,3829
2021-08-24,8892,3904
2021-08-25,8787,3856
2021-08-26,8841,3992
2021-08-27,8729,4033
2021-08-28,8302,3742
2021-08-29,8104,3611
2021-08-30,7997,3537
2021-08-31,7927,3495
2021-09-01,8002,2931
2021-09-02,8374,3095
2021-09-03,8500,3331
2021-09-04,8596,3416
2021-09-05,8688,3611
2021-09-06,8589,3575
2021-09-07,8290,3339
2021-09-08,8113,3244
2021-09-09,8125,3254
2021-09-10,8406,3893
2021-09-11,8375,3765
2021-09-12,8281,3769
2021-09-13,8223,3741
2021-09-14,8129,3667
2021-09-15,8127,2576
2021-09-16,8271,2727
2021-09-17,8380,2780
2021-09-18,8435,2875
2021-09-19,8656,3004
2021-09-20,8465,2824
2021-09-21,8166,2573
2021-09-22,7965,2411
2021-09-23,8039,2440
2021-09-24,7909,2326
2021-09-25,7825,2298
2021-09-26,7796,2260
2021-09-27,7803,2319
2021-09-28,8129,2754
2021-09-29,7999,3610
2021-09-30,8008,4197
2021-10-01,7861,3525
2021-10-02,7835,3548
2021-10-03,7908,3625
2021-10-04,7613,3344
2021-10-05,7662,3442
